number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.6606304493628437,2026-09-07 18:04:49.125245,2026-09-07 18:05:56.279642,0 days 00:01:07.154397,8,0.3,0.0,1e-05,onecycle,2,False,0.001,0.7608695652173914,0.47619047619047616,COMPLETE
1,0.6606304493628437,2026-09-07 18:05:56.279642,2026-09-07 18:06:35.440329,0 days 00:00:39.160687,8,0.3,0.0,0.0003,plateau,1,False,0.001,0.7608695652173914,0.47619047619047616,COMPLETE
2,0.425,2026-09-07 18:06:35.440329,2026-09-07 18:06:50.605927,0 days 00:00:15.165598,8,0.3,0.0,1e-05,onecycle,0,False,0.001,0.7391304347826086,0.0,COMPLETE
3,0.6415584415584416,2026-09-07 18:06:50.605927,2026-09-07 18:07:56.919451,0 days 00:01:06.313524,16,0.3,0.0,1e-05,onecycle,2,True,0.005,0.8043478260869565,0.4,COMPLETE
4,0.6805555555555556,2026-09-07 18:07:56.919451,2026-09-07 18:09:04.331867,0 days 00:01:07.412416,8,0.5,0.1,3e-05,onecycle,2,True,0.0001,0.782608695652174,0.5,COMPLETE
5,0.6805555555555556,2026-09-07 18:09:04.331867,2026-09-07 18:09:43.200183,0 days 00:00:38.868316,16,0.3,0.1,3e-05,onecycle,1,True,0.001,0.782608695652174,0.5,COMPLETE
6,0.6805555555555556,2026-09-07 18:09:43.200183,2026-09-07 18:10:49.239976,0 days 00:01:06.039793,16,0.5,0.0,3e-05,onecycle,2,False,0.001,0.782608695652174,0.5,COMPLETE
7,0.6606304493628437,2026-09-07 18:10:49.239976,2026-09-07 18:11:28.655404,0 days 00:00:39.415428,8,0.5,0.1,1e-05,plateau,1,True,0.0001,0.7608695652173914,0.47619047619047616,COMPLETE
8,0.7528358208955224,2026-09-07 18:11:28.655404,2026-09-07 18:12:07.921430,0 days 00:00:39.266026,8,0.3,0.0,1e-05,plateau,1,False,0.005,0.8043478260869565,0.64,COMPLETE
9,0.50730282375852,2026-09-07 18:12:07.921430,2026-09-07 18:13:14.024817,0 days 00:01:06.103387,16,0.3,0.1,1e-05,plateau,2,False,0.0001,0.7608695652173914,0.15384615384615385,COMPLETE
10,0.6231884057971014,2026-09-07 18:13:14.024817,2026-09-07 18:13:53.289664,0 days 00:00:39.264847,8,0.5,0.0,1e-05,plateau,1,False,0.005,0.717391304347826,0.43478260869565216,COMPLETE
11,0.681159420289855,2026-09-07 18:13:53.289664,2026-09-07 18:15:01.324417,0 days 00:01:08.034753,8,0.5,0.1,3e-05,onecycle,2,True,0.0001,0.7608695652173914,0.5217391304347826,COMPLETE
12,0.6546546546546547,2026-09-07 18:15:01.324417,2026-09-07 18:15:40.902642,0 days 00:00:39.578225,8,0.3,0.0,1e-05,plateau,1,True,0.005,0.782608695652174,0.4444444444444444,COMPLETE
13,0.38076923076923075,2026-09-07 18:15:40.902642,2026-09-07 18:15:56.256147,0 days 00:00:15.353505,8,0.3,0.1,1e-05,plateau,0,False,0.005,0.391304347826087,0.3,COMPLETE
14,0.6231884057971014,2026-09-07 18:15:56.256147,2026-09-07 18:16:35.799172,0 days 00:00:39.543025,8,0.3,0.0,0.0001,plateau,1,False,0.005,0.717391304347826,0.43478260869565216,COMPLETE
