number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.41025641025641024,2026-09-08 00:14:34.613629,2026-09-08 00:14:34.645478,0 days 00:00:00.031849,,0.0014609954019847433,mlp,,"(32, 16)",,0.00011429510971143899,,,COMPLETE
1,0.7528358208955224,2026-09-08 00:14:34.645478,2026-09-08 00:14:34.915270,0 days 00:00:00.269792,,,hgb,0.012134613523507426,,3.5253559303140446e-05,,3.0,355.0,COMPLETE
2,0.7324167107350608,2026-09-08 00:14:34.915270,2026-09-08 00:14:34.933067,0 days 00:00:00.017797,16.448392892048606,,logreg,,,,,,,COMPLETE
3,0.7946428571428572,2026-09-08 00:14:34.933067,2026-09-08 00:14:34.945085,0 days 00:00:00.012018,,0.03876094171803445,mlp,,"(16,)",,0.00039446366127822994,,,COMPLETE
4,0.8165242165242166,2026-09-08 00:14:34.945085,2026-09-08 00:14:35.075669,0 days 00:00:00.130584,,,hgb,0.08709657660618308,,2.2942424163778545,,3.0,393.0,COMPLETE
5,0.7463659147869675,2026-09-08 00:14:35.075669,2026-09-08 00:14:35.075669,0 days 00:00:00,0.008027364366482432,,logreg,,,,,,,COMPLETE
6,0.7526881720430108,2026-09-08 00:14:35.075669,2026-09-08 00:14:35.091478,0 days 00:00:00.015809,2.2955481007929297,,logreg,,,,,,,COMPLETE
7,0.681159420289855,2026-09-08 00:14:35.091478,2026-09-08 00:14:35.217655,0 days 00:00:00.126177,,,hgb,0.03956904603717448,,0.14128289017960186,,2.0,398.0,COMPLETE
8,0.7946428571428572,2026-09-08 00:14:35.217655,2026-09-08 00:14:35.233421,0 days 00:00:00.015766,,0.0027430863878943174,mlp,,"(16,)",,0.0012024552652630891,,,COMPLETE
9,0.7528358208955224,2026-09-08 00:14:35.233421,2026-09-08 00:14:35.301055,0 days 00:00:00.067634,,,hgb,0.09309720342722982,,1.026475643952321e-05,,3.0,162.0,COMPLETE
10,0.7855477855477855,2026-09-08 00:14:35.301055,2026-09-08 00:14:35.439540,0 days 00:00:00.138485,,,hgb,0.26484478108008613,,3.6259624055364563,,5.0,263.0,COMPLETE
11,0.8077611940298508,2026-09-08 00:14:35.439540,2026-09-08 00:14:35.455183,0 days 00:00:00.015643,,0.07096271125313654,mlp,,"(32,)",,0.009317202358168814,,,COMPLETE
12,0.8077611940298508,2026-09-08 00:14:35.455183,2026-09-08 00:14:35.471004,0 days 00:00:00.015821,,0.09378535101600459,mlp,,"(32,)",,0.00937187756047253,,,COMPLETE
13,0.697910447761194,2026-09-08 00:14:35.471004,2026-09-08 00:14:35.632124,0 days 00:00:00.161120,,,hgb,0.07629743246175291,,0.006702422871130367,,4.0,283.0,COMPLETE
14,0.7237237237237237,2026-09-08 00:14:35.632124,2026-09-08 00:14:35.666723,0 days 00:00:00.034599,,1.4172531421730439e-05,mlp,,"(32,)",,0.0031149829413474046,,,COMPLETE
