stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.30408273759435434,0.425,0.0,0.7391304347826086
0,2,0.4021021108158299,0.425,0.0,0.7391304347826086
0,3,0.33210912037416884,0.4177215189873418,0.0,0.717391304347826
0,4,0.28950375416239754,0.5165165165165165,0.2222222222222222,0.6956521739130435
0,5,0.30730507803744955,0.41025641025641024,0.0,0.6956521739130435
1,6,0.34389683978805125,0.4177215189873418,0.0,0.717391304347826
1,7,0.3197341043441022,0.4177215189873418,0.0,0.717391304347826
1,8,0.2631259941663898,0.4177215189873418,0.0,0.717391304347826
1,9,0.2233983167533666,0.4945054945054945,0.14285714285714285,0.7391304347826086
1,10,0.20432337190284103,0.4177215189873418,0.0,0.717391304347826
1,11,0.16759788990020752,0.5619047619047619,0.26666666666666666,0.7608695652173914
1,12,0.16660830883380492,0.5855855855855856,0.3333333333333333,0.7391304347826086
1,13,0.12557219351575674,0.5309803921568628,0.23529411764705882,0.717391304347826
1,14,0.122803173429979,0.5989268947015426,0.38095238095238093,0.717391304347826
1,15,0.10021193691941559,0.6351838500360489,0.42105263157894735,0.7608695652173914
1,16,0.08907971307228171,0.5855855855855856,0.3333333333333333,0.7391304347826086
1,17,0.1006055985643564,0.5855855855855856,0.3333333333333333,0.7391304347826086
1,18,0.11121774957479676,0.6166666666666667,0.4,0.7391304347826086
1,19,0.19366099893069658,0.5818181818181818,0.36363636363636365,0.6956521739130435
1,20,0.120698233119777,0.5818181818181818,0.36363636363636365,0.6956521739130435
2,21,0.07950169108604473,0.5818181818181818,0.36363636363636365,0.6956521739130435
2,22,0.07507007955853405,0.5527777777777778,0.3,0.6956521739130435
2,23,0.08882045257286947,0.5309803921568628,0.23529411764705882,0.717391304347826
2,24,0.07906388129041494,0.7032258064516128,0.6,0.7391304347826086
2,25,0.1176781504532027,0.6805555555555556,0.6111111111111112,0.6956521739130435
2,26,0.117075519809306,0.6157248157248157,0.5405405405405406,0.6304347826086957
2,27,0.08316557720059255,0.6351838500360489,0.42105263157894735,0.7608695652173914
2,28,0.062146432249923875,0.48225108225108226,0.13333333333333333,0.717391304347826
2,29,0.06292811736383074,0.6166666666666667,0.5,0.6521739130434783
2,30,0.048076201983488324,0.5989268947015426,0.38095238095238093,0.717391304347826
2,31,0.05476083097562112,0.6546546546546547,0.4444444444444444,0.782608695652174
2,32,0.03573425985424896,0.7125,0.625,0.7391304347826086
2,33,0.05258844393850024,0.5619047619047619,0.26666666666666666,0.7608695652173914
2,34,0.023793557628256377,0.6645833333333333,0.5625,0.6956521739130435
2,35,0.04028263183239379,0.6541353383458646,0.5714285714285714,0.6739130434782609
2,36,0.033539283471029316,0.6734279918864097,0.5882352941176471,0.6956521739130435
2,37,0.02591338167425062,0.6247086247086246,0.46153846153846156,0.6956521739130435
2,38,0.023347285764464914,0.5652173913043479,0.34782608695652173,0.6739130434782609
2,39,0.020283551326866357,0.5989268947015426,0.38095238095238093,0.717391304347826
2,40,0.04007008183197897,0.6166666666666667,0.4,0.7391304347826086
