number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.4997635933806146,2026-09-07 14:39:58.975128,2026-09-07 14:40:40.081818,0 days 00:00:41.106690,16,0.3,0.1,1e-05,plateau,1,False,0.001,0.5,0.4888888888888889,COMPLETE
1,0.5490196078431372,2026-09-07 14:40:40.081818,2026-09-07 14:41:21.077514,0 days 00:00:40.995696,16,0.5,0.1,1e-05,plateau,1,True,0.0001,0.6521739130434783,0.3333333333333333,COMPLETE
2,0.425,2026-09-07 14:41:21.078521,2026-09-07 14:42:02.234394,0 days 00:00:41.155873,16,0.5,0.0,1e-05,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
3,0.7444444444444445,2026-09-07 14:42:02.234394,2026-09-07 14:42:18.234804,0 days 00:00:16.000410,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.8260869565217391,0.6,COMPLETE
4,0.43478260869565216,2026-09-07 14:42:18.234804,2026-09-07 14:42:34.144162,0 days 00:00:15.909358,8,0.5,0.0,0.0003,onecycle,0,True,0.0001,0.43478260869565216,0.43478260869565216,COMPLETE
5,0.50682261208577,2026-09-07 14:42:34.144162,2026-09-07 14:42:49.999235,0 days 00:00:15.855073,8,0.5,0.0,0.0001,onecycle,0,False,0.005,0.5217391304347826,0.42105263157894735,COMPLETE
6,0.20689655172413793,2026-09-07 14:42:49.999235,2026-09-07 14:43:05.707280,0 days 00:00:15.708045,16,0.5,0.0,3e-05,plateau,0,True,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
7,0.5710955710955711,2026-09-07 14:43:05.707280,2026-09-07 14:43:21.564789,0 days 00:00:15.857509,8,0.3,0.1,0.0001,plateau,0,True,0.005,0.6521739130434783,0.38461538461538464,COMPLETE
8,0.5134615384615384,2026-09-07 14:43:21.564789,2026-09-07 14:43:37.538613,0 days 00:00:15.973824,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.5217391304347826,0.45,COMPLETE
9,0.5880597014925373,2026-09-07 14:43:37.538613,2026-09-07 14:44:18.477036,0 days 00:00:40.938423,16,0.5,0.1,3e-05,onecycle,1,False,0.001,0.6739130434782609,0.4,COMPLETE
10,0.640625,2026-09-07 14:44:18.477036,2026-09-07 14:45:31.192580,0 days 00:01:12.715544,8,0.5,0.1,3e-05,plateau,2,False,0.001,0.6956521739130435,0.5,COMPLETE
11,0.5619047619047619,2026-09-07 14:45:31.192580,2026-09-07 14:46:43.676404,0 days 00:01:12.483824,8,0.5,0.1,3e-05,plateau,2,False,0.005,0.7608695652173914,0.26666666666666666,COMPLETE
12,0.6351136964569011,2026-09-07 14:46:43.676404,2026-09-07 14:47:55.773159,0 days 00:01:12.096755,8,0.3,0.1,3e-05,onecycle,2,False,0.001,0.6739130434782609,0.5161290322580645,COMPLETE
13,0.6805555555555556,2026-09-07 14:47:55.773159,2026-09-07 14:49:05.330645,0 days 00:01:09.557486,16,0.5,0.1,0.0001,plateau,2,False,0.001,0.782608695652174,0.5,COMPLETE
14,0.6456086286594761,2026-09-07 14:49:05.330645,2026-09-07 14:50:15.105171,0 days 00:01:09.774526,16,0.5,0.1,0.0001,plateau,2,False,0.0001,0.6739130434782609,0.5454545454545454,COMPLETE
