number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.6217105263157895,2026-09-08 00:14:37.909462,2026-09-08 00:14:37.945029,0 days 00:00:00.035567,,0.0004554056650541414,mlp,,"(32, 16)",,0.0025826289952015588,,,COMPLETE
1,0.6217105263157895,2026-09-08 00:14:37.945029,2026-09-08 00:14:37.956787,0 days 00:00:00.011758,,5.5204763324982306e-05,mlp,,"(32, 16)",,0.006829471516627857,,,COMPLETE
2,0.7181372549019608,2026-09-08 00:14:37.956787,2026-09-08 00:14:37.995574,0 days 00:00:00.038787,,,hgb,0.1269991436867605,,0.9943384994769668,,2.0,61.0,COMPLETE
3,0.7391304347826086,2026-09-08 00:14:37.995574,2026-09-08 00:14:38.136765,0 days 00:00:00.141191,,,hgb,0.0182959328305596,,0.00011329708232224018,,4.0,243.0,COMPLETE
4,0.6837652035959809,2026-09-08 00:14:38.136765,2026-09-08 00:14:38.146528,0 days 00:00:00.009763,,0.0012753093457101988,mlp,,"(16,)",,0.0012409947439792352,,,COMPLETE
5,0.7855477855477855,2026-09-08 00:14:38.146528,2026-09-08 00:14:38.225395,0 days 00:00:00.078867,,,hgb,0.037559201551112815,,6.05046093396442,,2.0,220.0,COMPLETE
6,0.7181372549019608,2026-09-08 00:14:38.225395,2026-09-08 00:14:38.336709,0 days 00:00:00.111314,,,hgb,0.01721309541605226,,5.322328485959648e-06,,3.0,263.0,COMPLETE
7,0.8872549019607843,2026-09-08 00:14:38.336709,2026-09-08 00:14:38.344720,0 days 00:00:00.008011,0.6456481122172288,,logreg,,,,,,,COMPLETE
8,0.855072463768116,2026-09-08 00:14:38.344720,2026-09-08 00:14:38.360743,0 days 00:00:00.016023,,0.0001023080150576617,mlp,,"(16,)",,0.007147942414656791,,,COMPLETE
9,0.7528358208955224,2026-09-08 00:14:38.360743,2026-09-08 00:14:38.542957,0 days 00:00:00.182214,,,hgb,0.1393055427522907,,0.002346260456296092,,5.0,359.0,COMPLETE
10,0.8872549019607843,2026-09-08 00:14:38.542957,2026-09-08 00:14:38.558852,0 days 00:00:00.015895,0.8651355527108194,,logreg,,,,,,,COMPLETE
11,0.855072463768116,2026-09-08 00:14:38.558852,2026-09-08 00:14:38.558852,0 days 00:00:00,0.3625773942324709,,logreg,,,,,,,COMPLETE
12,0.855072463768116,2026-09-08 00:14:38.558852,2026-09-08 00:14:38.583817,0 days 00:00:00.024965,1.2819458498782763,,logreg,,,,,,,COMPLETE
13,0.855072463768116,2026-09-08 00:14:38.583817,2026-09-08 00:14:38.592971,0 days 00:00:00.009154,3.166249147713646,,logreg,,,,,,,COMPLETE
14,0.7946428571428572,2026-09-08 00:14:38.592971,2026-09-08 00:14:38.592971,0 days 00:00:00,0.0027145038368760438,,logreg,,,,,,,COMPLETE
