number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.20689655172413793,2026-09-07 14:50:41.882036,2026-09-07 14:50:57.829518,0 days 00:00:15.947482,16,0.5,0.1,1e-05,plateau,0,False,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
1,0.7745098039215685,2026-09-07 14:50:57.829518,2026-09-07 14:52:17.332177,0 days 00:01:19.502659,16,0.3,0.1,0.0001,onecycle,2,True,0.001,0.8260869565217391,0.6666666666666666,COMPLETE
2,0.6429850746268657,2026-09-07 14:52:17.332177,2026-09-07 14:53:10.583141,0 days 00:00:53.250964,16,0.3,0.1,0.0001,onecycle,1,True,0.001,0.717391304347826,0.48,COMPLETE
3,0.6541353383458646,2026-09-07 14:53:10.583141,2026-09-07 14:53:29.488519,0 days 00:00:18.905378,8,0.3,0.1,0.0001,plateau,0,False,0.001,0.6739130434782609,0.5714285714285714,COMPLETE
4,0.4742857142857143,2026-09-07 14:53:29.488519,2026-09-07 14:53:49.310525,0 days 00:00:19.822006,8,0.3,0.1,3e-05,onecycle,0,True,0.001,0.4782608695652174,0.42857142857142855,COMPLETE
5,0.640625,2026-09-07 14:53:49.310525,2026-09-07 14:55:14.415456,0 days 00:01:25.104931,16,0.5,0.1,1e-05,onecycle,2,True,0.0001,0.6956521739130435,0.5,COMPLETE
6,0.681159420289855,2026-09-07 14:55:14.415456,2026-09-07 14:56:37.879886,0 days 00:01:23.464430,16,0.5,0.1,3e-05,onecycle,2,True,0.005,0.7608695652173914,0.5217391304347826,COMPLETE
7,0.6592592592592592,2026-09-07 14:56:37.879886,2026-09-07 14:58:02.712163,0 days 00:01:24.832277,16,0.3,0.0,0.0001,onecycle,2,True,0.0001,0.717391304347826,0.5185185185185185,COMPLETE
8,0.731934731934732,2026-09-07 14:58:02.712163,2026-09-07 14:58:56.267077,0 days 00:00:53.554914,8,0.5,0.0,0.0003,plateau,1,True,0.0001,0.782608695652174,0.6153846153846154,COMPLETE
9,0.6752941176470588,2026-09-07 14:58:56.267077,2026-09-07 15:00:22.787689,0 days 00:01:26.520612,16,0.3,0.1,1e-05,plateau,2,True,0.0001,0.8043478260869565,0.47058823529411764,COMPLETE
10,0.7678442682047584,2026-09-07 15:00:22.787689,2026-09-07 15:01:49.029863,0 days 00:01:26.242174,16,0.3,0.1,0.0001,onecycle,2,False,0.001,0.8478260869565217,0.631578947368421,COMPLETE
11,0.697910447761194,2026-09-07 15:01:49.029863,2026-09-07 15:03:20.939407,0 days 00:01:31.909544,16,0.3,0.1,0.0003,onecycle,2,False,0.001,0.7608695652173914,0.56,COMPLETE
12,0.7526881720430108,2026-09-07 15:03:20.949415,2026-09-07 15:04:50.793872,0 days 00:01:29.844457,8,0.3,0.0,0.0001,onecycle,2,False,0.001,0.782608695652174,0.6666666666666666,COMPLETE
13,0.6837652035959809,2026-09-07 15:04:50.793872,2026-09-07 15:06:15.104062,0 days 00:01:24.310190,16,0.3,0.1,0.0001,plateau,2,True,0.001,0.717391304347826,0.5806451612903226,COMPLETE
14,0.697910447761194,2026-09-07 15:06:15.104062,2026-09-07 15:07:39.195636,0 days 00:01:24.091574,16,0.3,0.1,0.0001,onecycle,2,False,0.001,0.7608695652173914,0.56,COMPLETE
