number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.425,2026-09-07 18:48:52.702446,2026-09-07 18:49:08.247991,0 days 00:00:15.545545,8,0.3,0.0,1e-05,onecycle,0,True,0.001,0.7391304347826086,0.0,COMPLETE
1,0.6415584415584416,2026-09-07 18:49:08.247991,2026-09-07 18:49:46.326930,0 days 00:00:38.078939,8,0.3,0.1,3e-05,onecycle,1,True,0.001,0.8043478260869565,0.4,COMPLETE
2,0.425,2026-09-07 18:49:46.326930,2026-09-07 18:50:01.967224,0 days 00:00:15.640294,16,0.3,0.1,0.0001,onecycle,0,False,0.005,0.7391304347826086,0.0,COMPLETE
3,0.425,2026-09-07 18:50:01.967224,2026-09-07 18:50:40.021434,0 days 00:00:38.054210,8,0.5,0.1,0.0001,onecycle,1,True,0.001,0.7391304347826086,0.0,COMPLETE
4,0.425,2026-09-07 18:50:40.021434,2026-09-07 18:51:19.180513,0 days 00:00:39.159079,16,0.3,0.1,0.0001,plateau,1,True,0.005,0.7391304347826086,0.0,COMPLETE
5,0.425,2026-09-07 18:51:19.180513,2026-09-07 18:51:34.172035,0 days 00:00:14.991522,8,0.5,0.1,3e-05,plateau,0,True,0.005,0.7391304347826086,0.0,COMPLETE
6,0.425,2026-09-07 18:51:34.172035,2026-09-07 18:51:49.744696,0 days 00:00:15.572661,16,0.3,0.0,3e-05,plateau,0,True,0.001,0.7391304347826086,0.0,COMPLETE
7,0.425,2026-09-07 18:51:49.744696,2026-09-07 18:52:04.807461,0 days 00:00:15.062765,8,0.5,0.1,3e-05,plateau,0,False,0.005,0.7391304347826086,0.0,COMPLETE
8,0.425,2026-09-07 18:52:04.807461,2026-09-07 18:52:43.820808,0 days 00:00:39.013347,16,0.5,0.1,0.0001,onecycle,1,False,0.001,0.7391304347826086,0.0,COMPLETE
9,0.425,2026-09-07 18:52:43.820808,2026-09-07 18:52:59.236018,0 days 00:00:15.415210,16,0.3,0.0,3e-05,plateau,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
10,0.425,2026-09-07 18:52:59.236018,2026-09-07 18:53:36.881445,0 days 00:00:37.645427,8,0.3,0.1,3e-05,onecycle,1,True,0.0001,0.7391304347826086,0.0,COMPLETE
11,0.20689655172413793,2026-09-07 18:53:36.881445,2026-09-07 18:53:52.294209,0 days 00:00:15.412764,8,0.3,0.1,1e-05,onecycle,0,True,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
12,0.425,2026-09-07 18:53:52.294209,2026-09-07 18:54:12.471342,0 days 00:00:20.177133,8,0.3,0.0,1e-05,onecycle,0,True,0.005,0.7391304347826086,0.0,COMPLETE
13,0.4945054945054945,2026-09-07 18:54:12.471342,2026-09-07 18:54:58.984245,0 days 00:00:46.512903,8,0.3,0.0,3e-05,onecycle,1,True,0.001,0.7391304347826086,0.14285714285714285,COMPLETE
14,0.425,2026-09-07 18:54:58.984245,2026-09-07 18:55:39.328763,0 days 00:00:40.344518,8,0.3,0.0,3e-05,onecycle,1,True,0.001,0.7391304347826086,0.0,COMPLETE
