stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.34762682387086213,0.425,0.0,0.7391304347826086
0,2,0.2978608705958382,0.425,0.0,0.7391304347826086
0,3,0.3517519867485338,0.4177215189873418,0.0,0.717391304347826
0,4,0.29889975040336775,0.425,0.0,0.7391304347826086
0,5,0.32878081883237664,0.425,0.0,0.7391304347826086
1,6,0.3273066122675203,0.425,0.0,0.7391304347826086
1,7,0.33318368658993414,0.4177215189873418,0.0,0.717391304347826
1,8,0.29884072991668204,0.32748538011695905,0.4444444444444444,0.34782608695652173
1,9,0.24737350536825878,0.425,0.0,0.7391304347826086
1,10,0.2546744556700597,0.35462022254475084,0.4528301886792453,0.3695652173913043
1,11,0.2680494544284591,0.2992628992628993,0.43636363636363634,0.32608695652173914
