number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.8083333333333333,2026-09-08 00:14:35.856678,2026-09-08 00:14:35.872806,0 days 00:00:00.016128,0.06346060107838852,,logreg,,,,,,,COMPLETE
1,0.8308823529411764,2026-09-08 00:14:35.872806,2026-09-08 00:14:35.920365,0 days 00:00:00.047559,,0.0006706322521551016,mlp,,"(64, 16)",,0.0007166432953436667,,,COMPLETE
2,0.7012987012987013,2026-09-08 00:14:35.920365,2026-09-08 00:14:36.050713,0 days 00:00:00.130348,,,hgb,0.2007064773653348,,3.138872570535598e-05,,5.0,280.0,COMPLETE
3,0.7391304347826086,2026-09-08 00:14:36.050713,2026-09-08 00:14:36.063115,0 days 00:00:00.012402,23.40539235422314,,logreg,,,,,,,COMPLETE
4,0.7528358208955224,2026-09-08 00:14:36.063115,2026-09-08 00:14:36.125761,0 days 00:00:00.062646,,,hgb,0.06784929642698587,,1.6227980832710172e-05,,2.0,114.0,COMPLETE
5,0.7181372549019608,2026-09-08 00:14:36.125761,2026-09-08 00:14:36.248461,0 days 00:00:00.122700,,,hgb,0.29078047505758325,,0.00043843764871178103,,5.0,334.0,COMPLETE
6,0.6783216783216783,2026-09-08 00:14:36.248461,2026-09-08 00:14:36.340579,0 days 00:00:00.092118,,,hgb,0.20124464243003407,,0.6816532145318307,,2.0,307.0,COMPLETE
7,0.7946428571428572,2026-09-08 00:14:36.340579,2026-09-08 00:14:36.427633,0 days 00:00:00.087054,,,hgb,0.01381290850569006,,0.002812318106620216,,5.0,215.0,COMPLETE
8,0.731934731934732,2026-09-08 00:14:36.427633,2026-09-08 00:14:36.507505,0 days 00:00:00.079872,,,hgb,0.2114472885550482,,8.443219175576787e-06,,3.0,116.0,COMPLETE
9,0.7528358208955224,2026-09-08 00:14:36.507505,2026-09-08 00:14:36.555359,0 days 00:00:00.047854,,,hgb,0.06904245215002448,,0.38533849244029106,,3.0,92.0,COMPLETE
10,0.8077611940298508,2026-09-08 00:14:36.555359,2026-09-08 00:14:36.610566,0 days 00:00:00.055207,,0.0005883637583905063,mlp,,"(64, 16)",,0.0005850648639069647,,,COMPLETE
11,0.7667342799188641,2026-09-08 00:14:36.610566,2026-09-08 00:14:36.613352,0 days 00:00:00.002786,0.004496979931621155,,logreg,,,,,,,COMPLETE
12,0.7745098039215685,2026-09-08 00:14:36.613352,2026-09-08 00:14:36.646247,0 days 00:00:00.032895,,0.039355621977415864,mlp,,"(32,)",,0.006945620111173826,,,COMPLETE
13,0.4025974025974026,2026-09-08 00:14:36.646247,2026-09-08 00:14:36.660047,0 days 00:00:00.013800,,1.9951532618086814e-05,mlp,,"(32, 16)",,0.00011133808755917311,,,COMPLETE
14,0.7946428571428572,2026-09-08 00:14:36.660047,2026-09-08 00:14:36.660047,0 days 00:00:00,0.17186537346288747,,logreg,,,,,,,COMPLETE
