number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.6617647058823529,2026-09-07 16:32:56.511842,2026-09-07 16:34:07.232645,0 days 00:01:10.720803,8,0.3,0.0,1e-05,onecycle,2,False,0.001,0.7391304347826086,0.5,COMPLETE
1,0.6726874657909141,2026-09-07 16:34:07.232645,2026-09-07 16:34:48.938518,0 days 00:00:41.705873,8,0.3,0.0,0.0003,plateau,1,False,0.001,0.717391304347826,0.5517241379310345,COMPLETE
2,0.6645833333333333,2026-09-07 16:34:48.938518,2026-09-07 16:35:04.784433,0 days 00:00:15.845915,8,0.3,0.0,1e-05,onecycle,0,False,0.001,0.6956521739130435,0.5625,COMPLETE
3,0.425,2026-09-07 16:35:04.784433,2026-09-07 16:35:50.626971,0 days 00:00:45.842538,16,0.3,0.0,1e-05,onecycle,2,True,0.005,0.7391304347826086,0.0,COMPLETE
4,0.5436507936507937,2026-09-07 16:35:50.626971,2026-09-07 16:37:02.176453,0 days 00:01:11.549482,8,0.5,0.1,3e-05,onecycle,2,True,0.0001,0.5652173913043478,0.4444444444444444,COMPLETE
5,0.784037558685446,2026-09-07 16:37:02.176453,2026-09-07 16:37:43.560289,0 days 00:00:41.383836,16,0.3,0.1,3e-05,onecycle,1,True,0.001,0.8478260869565217,0.6666666666666666,COMPLETE
6,0.6752941176470588,2026-09-07 16:37:43.560289,2026-09-07 16:38:44.293041,0 days 00:01:00.732752,16,0.5,0.0,3e-05,onecycle,2,False,0.001,0.8043478260869565,0.47058823529411764,COMPLETE
7,0.43047619047619046,2026-09-07 16:38:44.293041,2026-09-07 16:39:26.610609,0 days 00:00:42.317568,8,0.5,0.1,1e-05,plateau,1,True,0.0001,0.43478260869565216,0.38095238095238093,COMPLETE
8,0.4772727272727273,2026-09-07 16:39:26.610609,2026-09-07 16:40:09.115197,0 days 00:00:42.504588,8,0.3,0.0,1e-05,plateau,1,False,0.005,0.4782608695652174,0.45454545454545453,COMPLETE
9,0.6031372549019608,2026-09-07 16:40:09.115197,2026-09-07 16:41:19.430758,0 days 00:01:10.315561,16,0.3,0.1,1e-05,plateau,2,False,0.0001,0.7608695652173914,0.35294117647058826,COMPLETE
10,0.6349206349206349,2026-09-07 16:41:19.430758,2026-09-07 16:42:00.640265,0 days 00:00:41.209507,16,0.3,0.1,1e-05,onecycle,1,True,0.001,0.6521739130434783,0.5555555555555556,COMPLETE
11,0.6166666666666667,2026-09-07 16:42:00.640265,2026-09-07 16:43:10.990419,0 days 00:01:10.350154,16,0.5,0.0,3e-05,plateau,2,False,0.001,0.7391304347826086,0.4,COMPLETE
12,0.44744744744744747,2026-09-07 16:43:10.990419,2026-09-07 16:43:26.849396,0 days 00:00:15.858977,16,0.5,0.1,3e-05,onecycle,0,False,0.001,0.6521739130434783,0.1111111111111111,COMPLETE
13,0.7015140591204037,2026-09-07 16:43:26.849396,2026-09-07 16:44:31.431703,0 days 00:01:04.582307,16,0.5,0.0,0.0001,onecycle,2,True,0.001,0.8043478260869565,0.5263157894736842,COMPLETE
14,0.6592592592592592,2026-09-07 16:44:31.431703,2026-09-07 16:45:43.510527,0 days 00:01:12.078824,8,0.5,0.0,0.0001,onecycle,2,True,0.001,0.717391304347826,0.5185185185185185,COMPLETE
