stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.2535042970076851,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,2,0.29104868873305945,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,3,0.27792161573534424,0.5380200860832138,0.4878048780487805,0.5434782608695652
0,4,0.23157954734304678,0.571975916803503,0.41379310344827586,0.6304347826086957
0,5,0.23688588712526404,0.6267748478701826,0.5294117647058824,0.6521739130434783
1,6,0.25496846178303595,0.5801217038539555,0.47058823529411764,0.6086956521739131
1,7,0.24383692832096762,0.6068376068376069,0.4444444444444444,0.6739130434782609
1,8,0.20695926184239594,0.6617647058823529,0.5,0.7391304347826086
1,9,0.22889316665089648,0.5652173913043479,0.34782608695652173,0.6739130434782609
1,10,0.18810784751954285,0.640625,0.5,0.6956521739130435
1,11,0.18454501032829285,0.5710955710955711,0.38461538461538464,0.6521739130434783
1,12,0.18902129712312118,0.6053921568627451,0.4166666666666667,0.6956521739130435
1,13,0.21787963613219882,0.6231884057971014,0.43478260869565216,0.717391304347826
1,14,0.20704455025818036,0.5880597014925373,0.4,0.6739130434782609
1,15,0.15234164051387622,0.5892857142857143,0.42857142857142855,0.6521739130434783
1,16,0.14435665633367456,0.6429850746268657,0.48,0.717391304347826
1,17,0.1552114532045696,0.5710955710955711,0.38461538461538464,0.6521739130434783
1,18,0.1974187247131182,0.6053921568627451,0.4166666666666667,0.6956521739130435
