"term","estimate","std_error","z","p_value","ci_low","ci_high"
"(Intercept)",1.78163746199303,0.189802538521057,9.3867946966124,6.18539263986028e-21,1.40963132231748,2.15364360166858
"modeldet_count",-0.263796429307728,0.224112471082214,-1.17707161959298,0.239166921579376,-0.703048801115142,0.175455942499686
"modeldet_count_sp",-0.13477575931952,0.226328030302246,-0.59548858857445,0.551516924754992,-0.578370547403812,0.308819028764772
"modelefficientnet_b3",-0.956493441606254,0.216965177756153,-4.40851131733802,1.04083582396315e-05,-1.38173737590764,-0.531249507304865
"modelens_cnn",-0.263796780564718,0.224120992072279,-1.17702843506798,0.23918415701504,-0.703065853205772,0.175472292076336
"modelresnet50v2",-1.37414730760196,0.216028618097284,-6.36095032086508,2.00509293638442e-10,-1.79755561870259,-0.950738996501324
"modelyolo_coco",-0.782014007369666,0.21807373259771,-3.58600734739696,0.000335779501438917,-1.2094306692354,-0.354597345503937
"modelyolo_scratch",-0.338809967985676,0.22297540770075,-1.51949477962334,0.128638001070124,-0.775833736517281,0.0982138005459286
"modelyolo_tl",-0.412220903873502,0.221940754441617,-1.85734659193446,0.0632618596849361,-0.84721678928072,0.0227749815337162
