number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.50730282375852,2026-09-07 18:27:47.674008,2026-09-07 18:28:02.913190,0 days 00:00:15.239182,16,0.5,0.1,1e-05,plateau,0,False,0.001,0.7608695652173914,0.15384615384615385,COMPLETE
1,0.7444444444444445,2026-09-07 18:28:02.913190,2026-09-07 18:29:08.559021,0 days 00:01:05.645831,16,0.3,0.1,0.0001,onecycle,2,True,0.001,0.8260869565217391,0.6,COMPLETE
2,0.6837652035959809,2026-09-07 18:29:08.559021,2026-09-07 18:29:47.184480,0 days 00:00:38.625459,16,0.3,0.1,0.0001,onecycle,1,True,0.001,0.717391304347826,0.5806451612903226,COMPLETE
3,0.7528358208955224,2026-09-07 18:29:47.184480,2026-09-07 18:30:02.528834,0 days 00:00:15.344354,8,0.3,0.1,0.0001,plateau,0,False,0.001,0.8043478260869565,0.64,COMPLETE
4,0.39015151515151514,2026-09-07 18:30:02.528834,2026-09-07 18:30:17.718156,0 days 00:00:15.189322,8,0.3,0.1,3e-05,onecycle,0,True,0.001,0.391304347826087,0.4166666666666667,COMPLETE
5,0.47820895522388057,2026-09-07 18:30:17.718156,2026-09-07 18:31:23.812511,0 days 00:01:06.094355,16,0.5,0.1,1e-05,onecycle,2,True,0.0001,0.5869565217391305,0.24,COMPLETE
6,0.7444444444444445,2026-09-07 18:31:23.812511,2026-09-07 18:32:29.524034,0 days 00:01:05.711523,16,0.5,0.1,3e-05,onecycle,2,True,0.005,0.8260869565217391,0.6,COMPLETE
7,0.7116809116809117,2026-09-07 18:32:29.524034,2026-09-07 18:33:35.046088,0 days 00:01:05.522054,16,0.3,0.0,0.0001,onecycle,2,True,0.0001,0.7608695652173914,0.5925925925925926,COMPLETE
8,0.6617647058823529,2026-09-07 18:33:35.046088,2026-09-07 18:34:14.680505,0 days 00:00:39.634417,8,0.5,0.0,0.0003,plateau,1,True,0.0001,0.7391304347826086,0.5,COMPLETE
9,0.7855477855477855,2026-09-07 18:34:14.680505,2026-09-07 18:35:20.604591,0 days 00:01:05.924086,16,0.3,0.1,1e-05,plateau,2,True,0.0001,0.8260869565217391,0.6923076923076923,COMPLETE
10,0.5378106821787414,2026-09-07 18:35:20.604591,2026-09-07 18:35:59.119970,0 days 00:00:38.515379,16,0.3,0.1,1e-05,plateau,1,True,0.0001,0.5869565217391305,0.3870967741935484,COMPLETE
11,0.6617647058823529,2026-09-07 18:35:59.119970,2026-09-07 18:36:14.348603,0 days 00:00:15.228633,8,0.3,0.1,0.0001,plateau,0,False,0.005,0.7391304347826086,0.5,COMPLETE
12,0.761038961038961,2026-09-07 18:36:14.348603,2026-09-07 18:36:53.615610,0 days 00:00:39.267007,8,0.3,0.0,0.0001,plateau,1,False,0.001,0.8260869565217391,0.6363636363636364,COMPLETE
13,0.8341744772891131,2026-09-07 18:36:53.615610,2026-09-07 18:37:32.791152,0 days 00:00:39.175542,8,0.3,0.0,0.0001,plateau,1,False,0.001,0.8913043478260869,0.7368421052631579,COMPLETE
14,0.8083333333333333,2026-09-07 18:37:32.791152,2026-09-07 18:38:38.963817,0 days 00:01:06.172665,16,0.3,0.1,1e-05,plateau,2,False,0.0001,0.8695652173913043,0.7,COMPLETE
