number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.5801217038539555,2026-09-07 20:35:29.327237,2026-09-07 20:35:29.344279,0 days 00:00:00.017042,,0.0014609954019847433,mlp,,"(32, 16)",,0.00011429510971143899,,,COMPLETE
1,0.7230432402846196,2026-09-07 20:35:29.344279,2026-09-07 20:35:29.545467,0 days 00:00:00.201188,,,hgb,0.012134613523507426,,3.5253559303140446e-05,,3.0,355.0,COMPLETE
2,0.7810682178741406,2026-09-07 20:35:29.545467,2026-09-07 20:35:29.553377,0 days 00:00:00.007910,16.448392892048606,,logreg,,,,,,,COMPLETE
3,0.2459016393442623,2026-09-07 20:35:29.553377,2026-09-07 20:35:29.567924,0 days 00:00:00.014547,,0.03876094171803445,mlp,,"(16,)",,0.00039446366127822994,,,COMPLETE
4,0.855072463768116,2026-09-07 20:35:29.567924,2026-09-07 20:35:29.717001,0 days 00:00:00.149077,,,hgb,0.08709657660618308,,2.2942424163778545,,3.0,393.0,COMPLETE
5,0.7200811359026369,2026-09-07 20:35:29.717001,2026-09-07 20:35:29.725763,0 days 00:00:00.008762,0.008027364366482432,,logreg,,,,,,,COMPLETE
6,0.7810682178741406,2026-09-07 20:35:29.725763,2026-09-07 20:35:29.733872,0 days 00:00:00.008109,2.2955481007929297,,logreg,,,,,,,COMPLETE
7,0.8308823529411764,2026-09-07 20:35:29.734777,2026-09-07 20:35:29.840020,0 days 00:00:00.105243,,,hgb,0.03956904603717448,,0.14128289017960186,,2.0,398.0,COMPLETE
8,0.39473684210526316,2026-09-07 20:35:29.840020,2026-09-07 20:35:29.867660,0 days 00:00:00.027640,,0.0027430863878943174,mlp,,"(16,)",,0.0012024552652630891,,,COMPLETE
9,0.8308823529411764,2026-09-07 20:35:29.867660,2026-09-07 20:35:29.923458,0 days 00:00:00.055798,,,hgb,0.09309720342722982,,1.026475643952321e-05,,3.0,162.0,COMPLETE
10,0.8083333333333333,2026-09-07 20:35:29.923458,2026-09-07 20:35:30.086920,0 days 00:00:00.163462,,,hgb,0.26484478108008613,,3.6259624055364563,,5.0,263.0,COMPLETE
11,0.8308823529411764,2026-09-07 20:35:30.086920,2026-09-07 20:35:30.203183,0 days 00:00:00.116263,,,hgb,0.04360675487226304,,0.06807618318857396,,2.0,395.0,COMPLETE
12,0.8308823529411764,2026-09-07 20:35:30.203183,2026-09-07 20:35:30.322948,0 days 00:00:00.119765,,,hgb,0.041492158202219,,0.021846539757464898,,2.0,397.0,COMPLETE
13,0.8077611940298508,2026-09-07 20:35:30.322948,2026-09-07 20:35:30.446033,0 days 00:00:00.123085,,,hgb,0.09367448385720052,,5.956895255591939,,4.0,304.0,COMPLETE
14,0.8077611940298508,2026-09-07 20:35:30.446033,2026-09-07 20:35:30.546790,0 days 00:00:00.100757,,,hgb,0.02750873966678014,,0.0017004304586698386,,2.0,391.0,COMPLETE
