number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.5619047619047619,2026-09-07 16:23:26.270999,2026-09-07 16:23:45.689339,0 days 00:00:19.418340,8,0.3,0.0,1e-05,onecycle,0,True,0.001,0.7608695652173914,0.26666666666666666,COMPLETE
1,0.5864621893178212,2026-09-07 16:23:45.689339,2026-09-07 16:24:36.670468,0 days 00:00:50.981129,8,0.3,0.1,3e-05,onecycle,1,True,0.001,0.6304347826086957,0.45161290322580644,COMPLETE
2,0.5527777777777778,2026-09-07 16:24:36.670468,2026-09-07 16:24:52.369438,0 days 00:00:15.698970,16,0.3,0.1,0.0001,onecycle,0,False,0.005,0.6956521739130435,0.3,COMPLETE
3,0.49264705882352944,2026-09-07 16:24:52.369438,2026-09-07 16:25:32.242366,0 days 00:00:39.872928,8,0.5,0.1,0.0001,onecycle,1,True,0.001,0.6086956521739131,0.25,COMPLETE
4,0.5544159544159544,2026-09-07 16:25:32.242366,2026-09-07 16:26:12.682306,0 days 00:00:40.439940,16,0.3,0.1,0.0001,plateau,1,True,0.005,0.6304347826086957,0.37037037037037035,COMPLETE
5,0.4542002847650688,2026-09-07 16:26:12.682306,2026-09-07 16:26:27.843919,0 days 00:00:15.161613,8,0.5,0.1,3e-05,plateau,0,True,0.005,0.45652173913043476,0.4186046511627907,COMPLETE
6,0.5025234318673395,2026-09-07 16:26:27.843919,2026-09-07 16:26:43.286940,0 days 00:00:15.443021,16,0.3,0.0,3e-05,plateau,0,True,0.001,0.6739130434782609,0.21052631578947367,COMPLETE
7,0.6031372549019608,2026-09-07 16:26:43.286940,2026-09-07 16:26:58.579520,0 days 00:00:15.292580,8,0.5,0.1,3e-05,plateau,0,False,0.005,0.7608695652173914,0.35294117647058826,COMPLETE
8,0.5019943019943021,2026-09-07 16:26:58.579520,2026-09-07 16:27:39.104655,0 days 00:00:40.525135,16,0.5,0.1,0.0001,onecycle,1,False,0.001,0.5869565217391305,0.2962962962962963,COMPLETE
9,0.20689655172413793,2026-09-07 16:27:39.104655,2026-09-07 16:27:54.467997,0 days 00:00:15.363342,16,0.3,0.0,3e-05,plateau,0,False,0.0001,0.2608695652173913,0.41379310344827586,COMPLETE
10,0.6068376068376069,2026-09-07 16:27:54.467997,2026-09-07 16:28:34.176093,0 days 00:00:39.708096,8,0.5,0.0,3e-05,plateau,1,False,0.005,0.6739130434782609,0.4444444444444444,COMPLETE
11,0.6429850746268657,2026-09-07 16:28:34.176093,2026-09-07 16:29:13.744970,0 days 00:00:39.568877,8,0.5,0.0,3e-05,plateau,1,False,0.005,0.717391304347826,0.48,COMPLETE
12,0.5372233400402414,2026-09-07 16:29:13.744970,2026-09-07 16:29:53.604783,0 days 00:00:39.859813,8,0.5,0.0,3e-05,plateau,1,False,0.005,0.6739130434782609,0.2857142857142857,COMPLETE
13,0.6217105263157895,2026-09-07 16:29:53.604783,2026-09-07 16:30:33.355933,0 days 00:00:39.751150,8,0.3,0.0,1e-05,plateau,1,False,0.005,0.782608695652174,0.375,COMPLETE
14,0.5892857142857143,2026-09-07 16:30:33.355933,2026-09-07 16:31:27.606152,0 days 00:00:54.250219,8,0.3,0.0,1e-05,plateau,2,False,0.005,0.6521739130434783,0.42857142857142855,COMPLETE
