number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.425,2026-09-07 13:04:47.063628,2026-09-07 13:05:03.710621,0 days 00:00:16.646993,8,0.3,0.0,1e-05,onecycle,0,True,0.001,0.7391304347826086,0.0,COMPLETE
1,0.681159420289855,2026-09-07 13:05:03.710621,2026-09-07 13:05:53.665817,0 days 00:00:49.955196,8,0.3,0.1,3e-05,onecycle,1,True,0.001,0.7608695652173914,0.5217391304347826,COMPLETE
2,0.6217105263157895,2026-09-07 13:05:53.665817,2026-09-07 13:06:12.349833,0 days 00:00:18.684016,16,0.3,0.1,0.0001,onecycle,0,False,0.005,0.782608695652174,0.375,COMPLETE
3,0.6592592592592592,2026-09-07 13:06:12.349833,2026-09-07 13:07:03.448262,0 days 00:00:51.098429,8,0.5,0.1,0.0001,onecycle,1,True,0.001,0.717391304347826,0.5185185185185185,COMPLETE
4,0.6645833333333333,2026-09-07 13:07:03.448262,2026-09-07 13:07:52.145690,0 days 00:00:48.697428,16,0.3,0.1,0.0001,plateau,1,True,0.005,0.6956521739130435,0.5625,COMPLETE
5,0.5989268947015426,2026-09-07 13:07:52.145690,2026-09-07 13:08:12.666521,0 days 00:00:20.520831,8,0.5,0.1,3e-05,plateau,0,True,0.005,0.717391304347826,0.38095238095238093,COMPLETE
6,0.48888888888888893,2026-09-07 13:08:12.666521,2026-09-07 13:08:32.058304,0 days 00:00:19.391783,16,0.3,0.0,3e-05,plateau,0,True,0.001,0.6521739130434783,0.2,COMPLETE
7,0.6166666666666667,2026-09-07 13:08:32.058304,2026-09-07 13:08:52.789080,0 days 00:00:20.730776,8,0.5,0.1,3e-05,plateau,0,False,0.005,0.6521739130434783,0.5,COMPLETE
8,0.5619047619047619,2026-09-07 13:08:52.789080,2026-09-07 13:09:41.808727,0 days 00:00:49.019647,16,0.5,0.1,0.0001,onecycle,1,False,0.001,0.7608695652173914,0.26666666666666666,COMPLETE
9,0.5174825174825175,2026-09-07 13:09:41.808727,2026-09-07 13:10:02.027876,0 days 00:00:20.219149,16,0.3,0.0,3e-05,plateau,0,False,0.0001,0.6086956521739131,0.3076923076923077,COMPLETE
10,0.6592592592592592,2026-09-07 13:10:02.027876,2026-09-07 13:10:56.757585,0 days 00:00:54.729709,8,0.3,0.1,3e-05,onecycle,1,True,0.0001,0.717391304347826,0.5185185185185185,COMPLETE
11,0.5801217038539555,2026-09-07 13:10:56.757585,2026-09-07 13:11:48.281930,0 days 00:00:51.524345,16,0.3,0.1,0.0001,plateau,1,True,0.005,0.6086956521739131,0.47058823529411764,COMPLETE
12,0.6726874657909141,2026-09-07 13:11:48.281930,2026-09-07 13:13:09.041038,0 days 00:01:20.759108,16,0.3,0.1,3e-05,onecycle,2,True,0.001,0.717391304347826,0.5517241379310345,COMPLETE
13,0.5619047619047619,2026-09-07 13:13:09.041038,2026-09-07 13:14:31.366796,0 days 00:01:22.325758,16,0.3,0.1,3e-05,onecycle,2,True,0.0001,0.7608695652173914,0.26666666666666666,COMPLETE
14,0.6456086286594761,2026-09-07 13:14:31.366796,2026-09-07 13:15:44.672990,0 days 00:01:13.306194,16,0.3,0.0,3e-05,onecycle,2,False,0.001,0.6739130434782609,0.5454545454545454,COMPLETE
