number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.7810682178741406,2026-09-07 20:35:30.700582,2026-09-07 20:35:30.712337,0 days 00:00:00.011755,0.06346060107838852,,logreg,,,,,,,COMPLETE
1,0.5818181818181818,2026-09-07 20:35:30.712337,2026-09-07 20:35:30.741604,0 days 00:00:00.029267,,0.0006706322521551016,mlp,,"(64, 16)",,0.0007166432953436667,,,COMPLETE
2,0.7012987012987013,2026-09-07 20:35:30.741604,2026-09-07 20:35:30.878177,0 days 00:00:00.136573,,,hgb,0.2007064773653348,,3.138872570535598e-05,,5.0,280.0,COMPLETE
3,0.7528358208955224,2026-09-07 20:35:30.878177,2026-09-07 20:35:30.896092,0 days 00:00:00.017915,23.40539235422314,,logreg,,,,,,,COMPLETE
4,0.7528358208955224,2026-09-07 20:35:30.896092,2026-09-07 20:35:30.961284,0 days 00:00:00.065192,,,hgb,0.06784929642698587,,1.6227980832710172e-05,,2.0,114.0,COMPLETE
5,0.7012987012987013,2026-09-07 20:35:30.961284,2026-09-07 20:35:31.074918,0 days 00:00:00.113634,,,hgb,0.29078047505758325,,0.00043843764871178103,,5.0,334.0,COMPLETE
6,0.7391304347826086,2026-09-07 20:35:31.074918,2026-09-07 20:35:31.155118,0 days 00:00:00.080200,,,hgb,0.20124464243003407,,0.6816532145318307,,2.0,307.0,COMPLETE
7,0.7528358208955224,2026-09-07 20:35:31.155118,2026-09-07 20:35:31.283670,0 days 00:00:00.128552,,,hgb,0.01381290850569006,,0.002812318106620216,,5.0,215.0,COMPLETE
8,0.7391304347826086,2026-09-07 20:35:31.283670,2026-09-07 20:35:31.346322,0 days 00:00:00.062652,,,hgb,0.2114472885550482,,8.443219175576787e-06,,3.0,116.0,COMPLETE
9,0.7528358208955224,2026-09-07 20:35:31.346322,2026-09-07 20:35:31.417453,0 days 00:00:00.071131,,,hgb,0.06904245215002448,,0.38533849244029106,,3.0,92.0,COMPLETE
10,0.7061425061425062,2026-09-07 20:35:31.417453,2026-09-07 20:35:31.425766,0 days 00:00:00.008313,0.0038958516790789143,,logreg,,,,,,,COMPLETE
11,0.7528358208955224,2026-09-07 20:35:31.425766,2026-09-07 20:35:31.433514,0 days 00:00:00.007748,29.638644469360607,,logreg,,,,,,,COMPLETE
12,0.7745098039215685,2026-09-07 20:35:31.433514,2026-09-07 20:35:31.443277,0 days 00:00:00.009763,0.6578823076979884,,logreg,,,,,,,COMPLETE
13,0.7855477855477855,2026-09-07 20:35:31.443277,2026-09-07 20:35:31.453053,0 days 00:00:00.009776,0.14771703876091025,,logreg,,,,,,,COMPLETE
14,0.7810682178741406,2026-09-07 20:35:31.453053,2026-09-07 20:35:31.463090,0 days 00:00:00.010037,0.0497135222615695,,logreg,,,,,,,COMPLETE
