stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.7047079646069071,0.761038961038961,0.6363636363636364,0.8260869565217391
0,2,0.5940163018910781,0.6752941176470588,0.47058823529411764,0.8043478260869565
0,3,0.578252762556076,0.6541353383458646,0.5714285714285714,0.6739130434782609
0,4,0.5530862704567288,0.7433035714285714,0.6428571428571429,0.782608695652174
0,5,0.4575407595738121,0.6609336609336609,0.5945945945945946,0.6739130434782609
1,6,0.5718429140422655,0.7433035714285714,0.6428571428571429,0.782608695652174
1,7,0.5093382305425146,0.7230432402846196,0.6206896551724138,0.7608695652173914
1,8,0.5113360525473304,0.601923076923077,0.55,0.6086956521739131
1,9,0.5101367008426915,0.8207792207792208,0.7272727272727273,0.8695652173913043
1,10,0.5445669682129569,0.5787545787545787,0.2857142857142857,0.782608695652174
1,11,0.4753933296255443,0.50730282375852,0.15384615384615385,0.7608695652173914
1,12,0.5320016787103985,0.8341744772891131,0.7368421052631579,0.8913043478260869
1,13,0.44468209471391595,0.601923076923077,0.55,0.6086956521739131
1,14,0.5009341052044993,0.761038961038961,0.6363636363636364,0.8260869565217391
1,15,0.46229308325311413,0.761038961038961,0.6363636363636364,0.8260869565217391
1,16,0.5139352342356807,0.855072463768116,0.782608695652174,0.8913043478260869
1,17,0.4392209739788719,0.6546546546546547,0.4444444444444444,0.782608695652174
1,18,0.48443960754767706,0.8207792207792208,0.7272727272727273,0.8695652173913043
1,19,0.47910986905512604,0.7810682178741406,0.7096774193548387,0.8043478260869565
1,20,0.3593752248131711,0.7810682178741406,0.7096774193548387,0.8043478260869565
