number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.6456086286594761,2026-09-07 20:35:31.489307,2026-09-07 20:35:31.496317,0 days 00:00:00.007010,0.0024347133125631262,,logreg,,,,,,,COMPLETE
1,0.7444444444444445,2026-09-07 20:35:31.498048,2026-09-07 20:35:31.513808,0 days 00:00:00.015760,,0.003984828954048987,mlp,,"(64, 16)",,0.009581717659065276,,,COMPLETE
2,0.42328358208955225,2026-09-07 20:35:31.513808,2026-09-07 20:35:31.527852,0 days 00:00:00.014044,,0.001093449514751714,mlp,,"(16,)",,0.0001678501723772171,,,COMPLETE
3,0.6068376068376069,2026-09-07 20:35:31.527852,2026-09-07 20:35:31.544261,0 days 00:00:00.016409,,7.935683309512758e-05,mlp,,"(64, 16)",,0.0025866815727069283,,,COMPLETE
4,0.42328358208955225,2026-09-07 20:35:31.544261,2026-09-07 20:35:31.557311,0 days 00:00:00.013050,,0.00010181242908755816,mlp,,"(16,)",,0.00016614322815469219,,,COMPLETE
5,0.784037558685446,2026-09-07 20:35:31.557311,2026-09-07 20:35:31.693223,0 days 00:00:00.135912,,,hgb,0.013773826655860183,,0.15569651642899887,,3.0,362.0,COMPLETE
6,0.5801217038539555,2026-09-07 20:35:31.693223,2026-09-07 20:35:31.717140,0 days 00:00:00.023917,,0.00010476760628984441,mlp,,"(32, 16)",,0.0003181504235000584,,,COMPLETE
7,0.6456086286594761,2026-09-07 20:35:31.717140,2026-09-07 20:35:31.720886,0 days 00:00:00.003746,0.0020934446358145584,,logreg,,,,,,,COMPLETE
8,0.8626865671641791,2026-09-07 20:35:31.720886,2026-09-07 20:35:31.720886,0 days 00:00:00,1.7677862501767525,,logreg,,,,,,,COMPLETE
9,0.764102564102564,2026-09-07 20:35:31.720886,2026-09-07 20:35:31.736745,0 days 00:00:00.015859,0.030334525319377525,,logreg,,,,,,,COMPLETE
10,0.7391304347826086,2026-09-07 20:35:31.736745,2026-09-07 20:35:31.801073,0 days 00:00:00.064328,,,hgb,0.26368971677662345,,1.4880178256994575e-06,,5.0,72.0,COMPLETE
11,0.784037558685446,2026-09-07 20:35:31.801073,2026-09-07 20:35:31.895281,0 days 00:00:00.094208,,,hgb,0.010384112797721735,,1.8718916035657664,,2.0,371.0,COMPLETE
12,0.761038961038961,2026-09-07 20:35:31.895281,2026-09-07 20:35:32.000223,0 days 00:00:00.104942,,,hgb,0.03853350198435954,,0.002388909103821998,,3.0,275.0,COMPLETE
13,0.784037558685446,2026-09-07 20:35:32.000223,2026-09-07 20:35:32.164198,0 days 00:00:00.163975,,,hgb,0.028995385079377097,,0.039171478447161324,,4.0,387.0,COMPLETE
14,0.8391608391608392,2026-09-07 20:35:32.164198,2026-09-07 20:35:32.174211,0 days 00:00:00.010013,17.242254796373807,,logreg,,,,,,,COMPLETE
