stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.6598140320491269,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,2,0.6108339966320601,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,3,0.5333307662296817,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,4,0.526147211835684,0.20689655172413793,0.41379310344827586,0.2608695652173913
0,5,0.502634210013301,0.19298245614035087,0.38596491228070173,0.2391304347826087
1,6,0.4866965716002417,0.4562647754137116,0.4444444444444444,0.45652173913043476
1,7,0.5165975341379968,0.5511042629686698,0.42424242424242425,0.5869565217391305
1,8,0.5024453460193071,0.5334685598377282,0.4117647058823529,0.5652173913043478
1,9,0.5333415927782736,0.6166666666666667,0.4,0.7391304347826086
1,10,0.4747611551336903,0.6068376068376069,0.4444444444444444,0.6739130434782609
1,11,0.4882238784122988,0.6223316912972086,0.4827586206896552,0.6739130434782609
1,12,0.5280706556768365,0.56875,0.4375,0.6086956521739131
1,13,0.48148166156205974,0.391304347826087,0.391304347826087,0.391304347826087
1,14,0.4043166337768888,0.44363812288340587,0.358974358974359,0.45652173913043476
1,15,0.5288660487190622,0.5983564458140729,0.48484848484848486,0.6304347826086957
1,16,0.4005587895711263,0.5490196078431372,0.3333333333333333,0.6521739130434783
1,17,0.4265631847694272,0.5710955710955711,0.38461538461538464,0.6521739130434783
1,18,0.4893281603120064,0.5544159544159544,0.37037037037037035,0.6304347826086957
1,19,0.4355738306306099,0.5548387096774194,0.4,0.6086956521739131
1,20,0.48676784442422166,0.5801217038539555,0.47058823529411764,0.6086956521739131
2,21,0.3891206855982379,0.6606304493628437,0.47619047619047616,0.7608695652173914
2,22,0.427712466547398,0.6546546546546547,0.4444444444444444,0.782608695652174
2,23,0.3986610402174986,0.5619047619047619,0.26666666666666666,0.7608695652173914
2,24,0.3680052157959651,0.5253071253071253,0.43243243243243246,0.5434782608695652
2,25,0.35092986998010856,0.6606304493628437,0.47619047619047616,0.7608695652173914
2,26,0.4539179984337645,0.6231884057971014,0.43478260869565216,0.717391304347826
2,27,0.3760815682958384,0.5134615384615384,0.45,0.5217391304347826
2,28,0.32961287524530797,0.5892857142857143,0.5,0.6086956521739131
2,29,0.3598882722072914,0.681159420289855,0.5217391304347826,0.7608695652173914
2,30,0.4041035917938733,0.5892857142857143,0.42857142857142855,0.6521739130434783
2,31,0.38767504040660755,0.5334685598377282,0.4117647058823529,0.5652173913043478
2,32,0.38097629130212335,0.5548387096774194,0.4,0.6086956521739131
2,33,0.3067339743421377,0.6247086247086246,0.46153846153846156,0.6956521739130435
2,34,0.2830521773770859,0.56875,0.4375,0.6086956521739131
2,35,0.3574710934539962,0.5157894736842106,0.4,0.5434782608695652
2,36,0.3166973551765817,0.7391304347826086,0.6086956521739131,0.8043478260869565
2,37,0.30076969516733304,0.6068376068376069,0.4444444444444444,0.6739130434782609
2,38,0.29319140950187306,0.56875,0.4375,0.6086956521739131
2,39,0.3538098309209438,0.5864621893178212,0.45161290322580644,0.6304347826086957
2,40,0.38839030656658236,0.5892857142857143,0.42857142857142855,0.6521739130434783
