number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.6166666666666667,2026-09-07 13:38:12.044863,2026-09-07 13:38:57.771124,0 days 00:00:45.726261,16,0.3,0.1,1e-05,plateau,1,False,0.001,0.7391304347826086,0.4,COMPLETE
1,0.425,2026-09-07 13:38:57.771124,2026-09-07 13:39:36.663254,0 days 00:00:38.892130,16,0.5,0.1,1e-05,plateau,1,True,0.0001,0.7391304347826086,0.0,COMPLETE
2,0.5688536409516942,2026-09-07 13:39:36.663254,2026-09-07 13:40:15.646134,0 days 00:00:38.982880,16,0.5,0.0,1e-05,onecycle,1,False,0.005,0.717391304347826,0.3157894736842105,COMPLETE
3,0.4619883040935673,2026-09-07 13:40:15.646134,2026-09-07 13:40:31.070018,0 days 00:00:15.423884,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.4782608695652174,0.3684210526315789,COMPLETE
4,0.5820181731229077,2026-09-07 13:40:31.070018,2026-09-07 13:40:49.439333,0 days 00:00:18.369315,8,0.5,0.0,0.0003,onecycle,0,True,0.0001,0.5869565217391305,0.5365853658536586,COMPLETE
5,0.6734279918864097,2026-09-07 13:40:49.439333,2026-09-07 13:41:07.940118,0 days 00:00:18.500785,8,0.5,0.0,0.0001,onecycle,0,False,0.005,0.6956521739130435,0.5882352941176471,COMPLETE
6,0.5989268947015426,2026-09-07 13:41:07.940118,2026-09-07 13:41:23.064683,0 days 00:00:15.124565,16,0.5,0.0,3e-05,plateau,0,True,0.001,0.717391304347826,0.38095238095238093,COMPLETE
7,0.5180952380952382,2026-09-07 13:41:23.064683,2026-09-07 13:41:38.280682,0 days 00:00:15.215999,8,0.3,0.1,0.0001,plateau,0,True,0.005,0.5217391304347826,0.47619047619047616,COMPLETE
8,0.5688536409516942,2026-09-07 13:41:38.280682,2026-09-07 13:41:53.613386,0 days 00:00:15.332704,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.717391304347826,0.3157894736842105,COMPLETE
9,0.5880597014925373,2026-09-07 13:41:53.613386,2026-09-07 13:42:32.436951,0 days 00:00:38.823565,16,0.5,0.1,3e-05,onecycle,1,False,0.001,0.6739130434782609,0.4,COMPLETE
10,0.6928608115048793,2026-09-07 13:42:32.436951,2026-09-07 13:42:47.671958,0 days 00:00:15.235007,8,0.5,0.0,0.0001,onecycle,0,False,0.005,0.717391304347826,0.6060606060606061,COMPLETE
11,0.5989268947015426,2026-09-07 13:42:47.671958,2026-09-07 13:43:11.433387,0 days 00:00:23.761429,8,0.5,0.0,0.0001,plateau,0,False,0.005,0.717391304347826,0.38095238095238093,COMPLETE
12,0.7230432402846196,2026-09-07 13:43:11.433387,2026-09-07 13:44:40.778240,0 days 00:01:29.344853,8,0.5,0.0,0.0001,onecycle,2,False,0.005,0.7608695652173914,0.6206896551724138,COMPLETE
13,0.6068376068376069,2026-09-07 13:44:40.778240,2026-09-07 13:46:07.808470,0 days 00:01:27.030230,8,0.5,0.0,1e-05,onecycle,2,True,0.005,0.6739130434782609,0.4444444444444444,COMPLETE
14,0.8165242165242166,2026-09-07 13:46:07.808470,2026-09-07 13:47:45.623867,0 days 00:01:37.815397,8,0.5,0.0,0.0001,onecycle,2,False,0.0001,0.8478260869565217,0.7407407407407407,COMPLETE
