number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.5460526315789473,2026-09-07 16:53:18.022503,2026-09-07 16:53:33.685078,0 days 00:00:15.662575,16,0.5,0.1,1e-05,plateau,0,False,0.001,0.7391304347826086,0.25,COMPLETE
1,0.8341744772891131,2026-09-07 16:53:33.685078,2026-09-07 16:54:44.298536,0 days 00:01:10.613458,16,0.3,0.1,0.0001,onecycle,2,True,0.001,0.8913043478260869,0.7368421052631579,COMPLETE
2,0.6928608115048793,2026-09-07 16:54:44.298536,2026-09-07 16:55:25.502639,0 days 00:00:41.204103,16,0.3,0.1,0.0001,onecycle,1,True,0.001,0.717391304347826,0.6060606060606061,COMPLETE
3,0.7745098039215685,2026-09-07 16:55:25.502639,2026-09-07 16:55:41.773359,0 days 00:00:16.270720,8,0.3,0.1,0.0001,plateau,0,False,0.001,0.8260869565217391,0.6666666666666666,COMPLETE
4,0.6166666666666667,2026-09-07 16:55:41.773359,2026-09-07 16:55:57.862102,0 days 00:00:16.088743,8,0.3,0.1,3e-05,onecycle,0,True,0.001,0.7391304347826086,0.4,COMPLETE
5,0.7433035714285714,2026-09-07 16:55:57.862102,2026-09-07 16:57:08.036598,0 days 00:01:10.174496,16,0.5,0.1,1e-05,onecycle,2,True,0.0001,0.782608695652174,0.6428571428571429,COMPLETE
6,0.4782608695652174,2026-09-07 16:57:08.036598,2026-09-07 16:58:17.919537,0 days 00:01:09.882939,16,0.5,0.1,3e-05,onecycle,2,True,0.005,0.4782608695652174,0.4782608695652174,COMPLETE
7,0.8722222222222222,2026-09-07 16:58:17.919537,2026-09-07 16:59:27.981710,0 days 00:01:10.062173,16,0.3,0.0,0.0001,onecycle,2,True,0.0001,0.9130434782608695,0.8,COMPLETE
8,0.7745098039215685,2026-09-07 16:59:27.981710,2026-09-07 17:00:10.205278,0 days 00:00:42.223568,8,0.5,0.0,0.0003,plateau,1,True,0.0001,0.8260869565217391,0.6666666666666666,COMPLETE
9,0.7528358208955224,2026-09-07 17:00:10.205278,2026-09-07 17:01:21.106146,0 days 00:01:10.900868,16,0.3,0.1,1e-05,plateau,2,True,0.0001,0.8043478260869565,0.64,COMPLETE
10,0.8083333333333333,2026-09-07 17:01:21.106146,2026-09-07 17:02:31.269819,0 days 00:01:10.163673,16,0.3,0.0,0.0001,onecycle,2,False,0.0001,0.8695652173913043,0.7,COMPLETE
11,0.764102564102564,2026-09-07 17:02:31.269819,2026-09-07 17:03:37.863696,0 days 00:01:06.593877,8,0.3,0.0,0.0001,onecycle,2,True,0.001,0.8043478260869565,0.6666666666666666,COMPLETE
12,0.7125,2026-09-07 17:03:37.863696,2026-09-07 17:04:48.759647,0 days 00:01:10.895951,16,0.3,0.0,0.0001,plateau,2,True,0.005,0.7391304347826086,0.625,COMPLETE
13,0.7181372549019608,2026-09-07 17:04:48.759647,2026-09-07 17:05:59.257447,0 days 00:01:10.497800,16,0.3,0.1,0.0001,onecycle,2,False,0.001,0.782608695652174,0.5833333333333334,COMPLETE
14,0.7032258064516128,2026-09-07 17:05:59.257447,2026-09-07 17:07:09.456451,0 days 00:01:10.199004,16,0.3,0.1,0.0003,onecycle,2,True,0.001,0.7391304347826086,0.6,COMPLETE
