number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.425,2026-09-07 19:23:14.546790,2026-09-07 19:23:57.613655,0 days 00:00:43.066865,16,0.3,0.1,1e-05,plateau,1,False,0.001,0.7391304347826086,0.0,COMPLETE
1,0.425,2026-09-07 19:23:57.613655,2026-09-07 19:24:38.966145,0 days 00:00:41.352490,16,0.5,0.1,1e-05,plateau,1,True,0.0001,0.7391304347826086,0.0,COMPLETE
2,0.425,2026-09-07 19:24:38.966145,2026-09-07 19:25:19.796883,0 days 00:00:40.830738,16,0.5,0.0,1e-05,onecycle,1,False,0.005,0.7391304347826086,0.0,COMPLETE
3,0.425,2026-09-07 19:25:19.796883,2026-09-07 19:25:35.675038,0 days 00:00:15.878155,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
4,0.425,2026-09-07 19:25:35.675038,2026-09-07 19:25:51.913202,0 days 00:00:16.238164,8,0.5,0.0,0.0003,onecycle,0,True,0.0001,0.7391304347826086,0.0,COMPLETE
5,0.425,2026-09-07 19:25:51.913202,2026-09-07 19:26:07.993723,0 days 00:00:16.080521,8,0.5,0.0,0.0001,onecycle,0,False,0.005,0.7391304347826086,0.0,COMPLETE
6,0.425,2026-09-07 19:26:07.993723,2026-09-07 19:26:25.323843,0 days 00:00:17.330120,16,0.5,0.0,3e-05,plateau,0,True,0.001,0.7391304347826086,0.0,COMPLETE
7,0.425,2026-09-07 19:26:25.323843,2026-09-07 19:26:40.979252,0 days 00:00:15.655409,8,0.3,0.1,0.0001,plateau,0,True,0.005,0.7391304347826086,0.0,COMPLETE
8,0.425,2026-09-07 19:26:40.979252,2026-09-07 19:26:56.935852,0 days 00:00:15.956600,8,0.5,0.1,3e-05,onecycle,0,False,0.0001,0.7391304347826086,0.0,COMPLETE
9,0.20689655172413793,2026-09-07 19:26:56.935852,2026-09-07 19:27:41.277477,0 days 00:00:44.341625,16,0.5,0.1,3e-05,onecycle,1,False,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
10,0.23909774436090225,2026-09-07 19:27:41.277477,2026-09-07 19:28:26.460866,0 days 00:00:45.183389,8,0.3,0.1,1e-05,plateau,1,False,0.001,0.2826086956521739,0.42105263157894735,COMPLETE
11,0.4542002847650688,2026-09-07 19:28:26.460866,2026-09-07 19:29:05.622242,0 days 00:00:39.161376,16,0.3,0.1,0.0001,plateau,1,False,0.0001,0.45652173913043476,0.4897959183673469,COMPLETE
12,0.425,2026-09-07 19:29:05.622242,2026-09-07 19:29:44.436897,0 days 00:00:38.814655,16,0.3,0.1,0.0001,onecycle,1,False,0.0001,0.7391304347826086,0.0,COMPLETE
13,0.425,2026-09-07 19:29:44.436897,2026-09-07 19:30:27.269281,0 days 00:00:42.832384,16,0.3,0.0,0.0001,plateau,1,False,0.001,0.7391304347826086,0.0,COMPLETE
14,0.425,2026-09-07 19:30:27.269281,2026-09-07 19:31:09.408205,0 days 00:00:42.138924,16,0.3,0.1,3e-05,plateau,1,False,0.0001,0.7391304347826086,0.0,COMPLETE
