number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.8021505376344086,2026-09-07 20:35:32.203110,2026-09-07 20:35:32.210863,0 days 00:00:00.007753,6.171337860299056,,logreg,,,,,,,COMPLETE
1,0.681159420289855,2026-09-07 20:35:32.210863,2026-09-07 20:35:32.227220,0 days 00:00:00.016357,,2.1859076963351665e-05,mlp,,"(32,)",,0.000712360093317423,,,COMPLETE
2,0.681159420289855,2026-09-07 20:35:32.227220,2026-09-07 20:35:32.250749,0 days 00:00:00.023529,,1.3930098084919924e-05,mlp,,"(32,)",,0.000397938263115054,,,COMPLETE
3,0.30303030303030304,2026-09-07 20:35:32.250749,2026-09-07 20:35:32.268248,0 days 00:00:00.017499,,0.0009464552834208973,mlp,,"(16,)",,0.00013054203520508663,,,COMPLETE
4,0.7971014492753623,2026-09-07 20:35:32.268248,2026-09-07 20:35:32.333634,0 days 00:00:00.065386,,,hgb,0.18799275612693586,,1.1038811340243994e-05,,4.0,90.0,COMPLETE
5,0.30303030303030304,2026-09-07 20:35:32.333634,2026-09-07 20:35:32.351759,0 days 00:00:00.018125,,0.0001054225932935548,mlp,,"(16,)",,0.00021838134121435494,,,COMPLETE
6,0.7391304347826086,2026-09-07 20:35:32.351759,2026-09-07 20:35:32.412435,0 days 00:00:00.060676,,,hgb,0.14717010239561612,,5.623625169717974e-06,,2.0,107.0,COMPLETE
7,0.7528358208955224,2026-09-07 20:35:32.412435,2026-09-07 20:35:32.527875,0 days 00:00:00.115440,,,hgb,0.0165611656437672,,1.0796160522418643e-05,,2.0,298.0,COMPLETE
8,0.7463659147869675,2026-09-07 20:35:32.527875,2026-09-07 20:35:32.541643,0 days 00:00:00.013768,0.0012440616180153794,,logreg,,,,,,,COMPLETE
9,0.7678442682047584,2026-09-07 20:35:32.541643,2026-09-07 20:35:32.575942,0 days 00:00:00.034299,,8.530561236333041e-05,mlp,,"(32,)",,0.0022079690326777496,,,COMPLETE
10,0.7810682178741406,2026-09-07 20:35:32.575942,2026-09-07 20:35:32.585954,0 days 00:00:00.010012,43.076438397602836,,logreg,,,,,,,COMPLETE
11,0.8021505376344086,2026-09-07 20:35:32.585954,2026-09-07 20:35:32.593466,0 days 00:00:00.007512,0.7336367409548978,,logreg,,,,,,,COMPLETE
12,0.8021505376344086,2026-09-07 20:35:32.593466,2026-09-07 20:35:32.604236,0 days 00:00:00.010770,0.4976058046722493,,logreg,,,,,,,COMPLETE
13,0.8021505376344086,2026-09-07 20:35:32.604236,2026-09-07 20:35:32.611246,0 days 00:00:00.007010,0.8144266938334155,,logreg,,,,,,,COMPLETE
14,0.8021505376344086,2026-09-07 20:35:32.611246,2026-09-07 20:35:32.621286,0 days 00:00:00.010040,4.938736439279121,,logreg,,,,,,,COMPLETE
