stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.3260332423707713,0.425,0.0,0.7391304347826086
0,2,0.25459485339081805,0.425,0.0,0.7391304347826086
0,3,0.24916536652523538,0.48225108225108226,0.13333333333333333,0.717391304347826
0,4,0.21067714367223822,0.571975916803503,0.41379310344827586,0.6304347826086957
0,5,0.1814169987388279,0.5892857142857143,0.5,0.6086956521739131
1,6,0.23858086570449497,0.6456086286594761,0.5454545454545454,0.6739130434782609
1,7,0.1899517781060675,0.4997635933806146,0.5106382978723404,0.5
1,8,0.17575482829757358,0.6157248157248157,0.5405405405405406,0.6304347826086957
1,9,0.16537416758744614,0.5217391304347826,0.5217391304347826,0.5217391304347826
1,10,0.1449725848177205,0.5787545787545787,0.2857142857142857,0.782608695652174
1,11,0.10302409497292145,0.6247086247086246,0.46153846153846156,0.6956521739130435
1,12,0.08626652217429617,0.5460526315789473,0.25,0.7391304347826086
1,13,0.08964432484429816,0.6752941176470588,0.47058823529411764,0.8043478260869565
1,14,0.0946894223275392,0.7015140591204037,0.5263157894736842,0.8043478260869565
1,15,0.09995451925889305,0.5771649733913884,0.5128205128205128,0.5869565217391305
1,16,0.0764860876876375,0.5180952380952382,0.47619047619047616,0.5217391304347826
1,17,0.0716361746839855,0.5180952380952382,0.47619047619047616,0.5217391304347826
1,18,0.08995731272127318,0.5134615384615384,0.45,0.5217391304347826
1,19,0.0627922056161839,0.532656023222061,0.46153846153846156,0.5434782608695652
1,20,0.09234603494405746,0.5705159705159706,0.4864864864864865,0.5869565217391305
2,21,0.08115279285804085,0.697910447761194,0.56,0.7608695652173914
2,22,0.07543128858441892,0.50682261208577,0.42105263157894735,0.5217391304347826
2,23,0.06033244599466738,0.45882352941176474,0.11764705882352941,0.6739130434782609
2,24,0.07009503115778384,0.6805555555555556,0.6111111111111112,0.6956521739130435
