number,value,datetime_start,datetime_complete,duration,params_C,params_alpha,params_clf,params_hgb_lr,params_hidden,params_l2,params_lr,params_max_depth,params_max_iter,state
0,0.7946428571428572,2026-09-08 00:14:37.152150,2026-09-08 00:14:37.168179,0 days 00:00:00.016029,6.171337860299056,,logreg,,,,,,,COMPLETE
1,0.6031372549019608,2026-09-08 00:14:37.168179,2026-09-08 00:14:37.185303,0 days 00:00:00.017124,,2.1859076963351665e-05,mlp,,"(32,)",,0.000712360093317423,,,COMPLETE
2,0.6031372549019608,2026-09-08 00:14:37.185303,2026-09-08 00:14:37.199347,0 days 00:00:00.014044,,1.3930098084919924e-05,mlp,,"(32,)",,0.000397938263115054,,,COMPLETE
3,0.7324167107350608,2026-09-08 00:14:37.199347,2026-09-08 00:14:37.212138,0 days 00:00:00.012791,,0.0009464552834208973,mlp,,"(16,)",,0.00013054203520508663,,,COMPLETE
4,0.681159420289855,2026-09-08 00:14:37.212138,2026-09-08 00:14:37.278152,0 days 00:00:00.066014,,,hgb,0.18799275612693586,,1.1038811340243994e-05,,4.0,90.0,COMPLETE
5,0.7324167107350608,2026-09-08 00:14:37.278152,2026-09-08 00:14:37.309734,0 days 00:00:00.031582,,0.0001054225932935548,mlp,,"(16,)",,0.00021838134121435494,,,COMPLETE
6,0.761038961038961,2026-09-08 00:14:37.309734,2026-09-08 00:14:37.357901,0 days 00:00:00.048167,,,hgb,0.14717010239561612,,5.623625169717974e-06,,2.0,107.0,COMPLETE
7,0.8077611940298508,2026-09-08 00:14:37.357901,2026-09-08 00:14:37.452343,0 days 00:00:00.094442,,,hgb,0.0165611656437672,,1.0796160522418643e-05,,2.0,298.0,COMPLETE
8,0.7667342799188641,2026-09-08 00:14:37.452343,2026-09-08 00:14:37.468209,0 days 00:00:00.015866,0.0012440616180153794,,logreg,,,,,,,COMPLETE
9,0.7444444444444445,2026-09-08 00:14:37.468209,2026-09-08 00:14:37.484003,0 days 00:00:00.015794,,8.530561236333041e-05,mlp,,"(32,)",,0.0022079690326777496,,,COMPLETE
10,0.7528358208955224,2026-09-08 00:14:37.484003,2026-09-08 00:14:37.624405,0 days 00:00:00.140402,,,hgb,0.011557559787285766,,0.3180475584189188,,2.0,350.0,COMPLETE
11,0.7526881720430108,2026-09-08 00:14:37.624405,2026-09-08 00:14:37.624405,0 days 00:00:00,23.639976233660114,,logreg,,,,,,,COMPLETE
12,0.7946428571428572,2026-09-08 00:14:37.624405,2026-09-08 00:14:37.640157,0 days 00:00:00.015752,0.871722027719785,,logreg,,,,,,,COMPLETE
13,0.8021505376344086,2026-09-08 00:14:37.640157,2026-09-08 00:14:37.650175,0 days 00:00:00.010018,0.16602064621705837,,logreg,,,,,,,COMPLETE
14,0.6617647058823529,2026-09-08 00:14:37.650175,2026-09-08 00:14:37.767125,0 days 00:00:00.116950,,,hgb,0.03562163196797824,,0.0032032652759601695,,5.0,253.0,COMPLETE
