number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.5460526315789473,2026-09-07 14:26:47.383178,2026-09-07 14:28:01.888862,0 days 00:01:14.505684,8,0.3,0.0,1e-05,onecycle,2,False,0.001,0.7391304347826086,0.25,COMPLETE
1,0.6592592592592592,2026-09-07 14:28:01.888862,2026-09-07 14:28:44.690554,0 days 00:00:42.801692,8,0.3,0.0,0.0003,plateau,1,False,0.001,0.717391304347826,0.5185185185185185,COMPLETE
2,0.38666666666666666,2026-09-07 14:28:44.690554,2026-09-07 14:29:00.534171,0 days 00:00:15.843617,8,0.3,0.0,1e-05,onecycle,0,False,0.001,0.391304347826087,0.3333333333333333,COMPLETE
3,0.4945054945054945,2026-09-07 14:29:00.534171,2026-09-07 14:30:10.154685,0 days 00:01:09.620514,16,0.3,0.0,1e-05,onecycle,2,True,0.005,0.7391304347826086,0.14285714285714285,COMPLETE
4,0.6415584415584416,2026-09-07 14:30:10.154685,2026-09-07 14:31:22.849263,0 days 00:01:12.694578,8,0.5,0.1,3e-05,onecycle,2,True,0.0001,0.7391304347826086,0.45454545454545453,COMPLETE
5,0.6783216783216783,2026-09-07 14:31:22.849263,2026-09-07 14:32:03.819558,0 days 00:00:40.970295,16,0.3,0.1,3e-05,onecycle,1,True,0.001,0.7391304347826086,0.5384615384615384,COMPLETE
6,0.5787545787545787,2026-09-07 14:32:03.819558,2026-09-07 14:33:13.481614,0 days 00:01:09.662056,16,0.5,0.0,3e-05,onecycle,2,False,0.001,0.782608695652174,0.2857142857142857,COMPLETE
7,0.6080200501253132,2026-09-07 14:33:13.481614,2026-09-07 14:33:55.564712,0 days 00:00:42.083098,8,0.5,0.1,1e-05,plateau,1,True,0.0001,0.6304347826086957,0.5142857142857142,COMPLETE
8,0.45882352941176474,2026-09-07 14:33:55.564712,2026-09-07 14:34:37.435255,0 days 00:00:41.870543,8,0.3,0.0,1e-05,plateau,1,False,0.005,0.6739130434782609,0.11764705882352941,COMPLETE
9,0.6546546546546547,2026-09-07 14:34:37.435255,2026-09-07 14:35:47.136912,0 days 00:01:09.701657,16,0.3,0.1,1e-05,plateau,2,False,0.0001,0.782608695652174,0.4444444444444444,COMPLETE
10,0.640625,2026-09-07 14:35:47.136912,2026-09-07 14:36:27.880954,0 days 00:00:40.744042,16,0.3,0.1,1e-05,onecycle,1,True,0.001,0.6956521739130435,0.5,COMPLETE
11,0.6606304493628437,2026-09-07 14:36:27.880954,2026-09-07 14:37:08.868689,0 days 00:00:40.987735,16,0.3,0.1,3e-05,plateau,1,True,0.001,0.7608695652173914,0.47619047619047616,COMPLETE
12,0.425,2026-09-07 14:37:08.868689,2026-09-07 14:37:24.545364,0 days 00:00:15.676675,16,0.3,0.1,3e-05,plateau,0,True,0.001,0.7391304347826086,0.0,COMPLETE
13,0.5436507936507937,2026-09-07 14:37:24.545364,2026-09-07 14:38:05.293210,0 days 00:00:40.747846,16,0.3,0.0,3e-05,plateau,1,True,0.001,0.5652173913043478,0.4444444444444444,COMPLETE
14,0.5619047619047619,2026-09-07 14:38:05.293210,2026-09-07 14:38:46.591971,0 days 00:00:41.298761,16,0.3,0.1,3e-05,onecycle,1,True,0.005,0.7608695652173914,0.26666666666666666,COMPLETE
