stage,epoch,train_loss,val_f1_macro,val_f1_non_urgent,val_acc
0,1,0.7966974662697833,0.425,0.0,0.7391304347826086
0,2,0.8086398554884869,0.425,0.0,0.7391304347826086
0,3,0.8011167956435162,0.425,0.0,0.7391304347826086
0,4,0.8079899782719819,0.425,0.0,0.7391304347826086
0,5,0.840318607247394,0.425,0.0,0.7391304347826086
1,6,0.8084191446718962,0.425,0.0,0.7391304347826086
1,7,0.8046272319296132,0.425,0.0,0.7391304347826086
1,8,0.7206865289936895,0.425,0.0,0.7391304347826086
1,9,0.822556539722111,0.425,0.0,0.7391304347826086
1,10,0.7920578277629354,0.4177215189873418,0.0,0.717391304347826
1,11,0.7269276095473248,0.425,0.0,0.7391304347826086
