number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_label_smoothing,params_lr,params_scheduler,params_unfreeze_level,params_use_focal_loss,params_weight_decay,user_attrs_accuracy,user_attrs_f1_non_urgent,state
0,0.20689655172413793,2026-09-07 19:32:03.883641,2026-09-07 19:32:19.294806,0 days 00:00:15.411165,16,0.5,0.1,1e-05,plateau,0,False,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
1,0.425,2026-09-07 19:32:19.294806,2026-09-07 19:33:05.484652,0 days 00:00:46.189846,16,0.3,0.1,0.0001,onecycle,2,True,0.001,0.7391304347826086,0.0,COMPLETE
2,0.20689655172413793,2026-09-07 19:33:05.484652,2026-09-07 19:33:53.050603,0 days 00:00:47.565951,16,0.3,0.1,0.0001,onecycle,1,True,0.001,0.2608695652173913,0.41379310344827586,COMPLETE
3,0.425,2026-09-07 19:33:53.050603,2026-09-07 19:34:09.545012,0 days 00:00:16.494409,8,0.3,0.1,0.0001,plateau,0,False,0.001,0.7391304347826086,0.0,COMPLETE
4,0.425,2026-09-07 19:34:09.545012,2026-09-07 19:34:24.862119,0 days 00:00:15.317107,8,0.3,0.1,3e-05,onecycle,0,True,0.001,0.7391304347826086,0.0,COMPLETE
5,0.425,2026-09-07 19:34:24.862119,2026-09-07 19:35:15.661916,0 days 00:00:50.799797,16,0.5,0.1,1e-05,onecycle,2,True,0.0001,0.7391304347826086,0.0,COMPLETE
6,0.425,2026-09-07 19:35:15.661916,2026-09-07 19:36:03.726795,0 days 00:00:48.064879,16,0.5,0.1,3e-05,onecycle,2,True,0.005,0.7391304347826086,0.0,COMPLETE
7,0.425,2026-09-07 19:36:03.726795,2026-09-07 19:36:53.463946,0 days 00:00:49.737151,16,0.3,0.0,0.0001,onecycle,2,True,0.0001,0.7391304347826086,0.0,COMPLETE
8,0.48225108225108226,2026-09-07 19:36:53.463946,2026-09-07 19:37:45.964824,0 days 00:00:52.500878,8,0.5,0.0,0.0003,plateau,1,True,0.0001,0.717391304347826,0.13333333333333333,COMPLETE
9,0.425,2026-09-07 19:37:45.964824,2026-09-07 19:38:35.310149,0 days 00:00:49.345325,16,0.3,0.1,1e-05,plateau,2,True,0.0001,0.7391304347826086,0.0,COMPLETE
10,0.425,2026-09-07 19:38:35.310149,2026-09-07 19:39:21.580780,0 days 00:00:46.270631,8,0.5,0.0,0.0001,plateau,1,True,0.0001,0.7391304347826086,0.0,COMPLETE
11,0.20689655172413793,2026-09-07 19:39:21.580780,2026-09-07 19:40:11.147853,0 days 00:00:49.567073,8,0.5,0.0,0.0003,plateau,1,True,0.005,0.2608695652173913,0.41379310344827586,COMPLETE
12,0.5989268947015426,2026-09-07 19:40:11.147853,2026-09-07 19:40:57.264976,0 days 00:00:46.117123,8,0.5,0.0,0.0003,onecycle,1,True,0.0001,0.717391304347826,0.38095238095238093,COMPLETE
13,0.43478260869565216,2026-09-07 19:40:57.264976,2026-09-07 19:41:36.618671,0 days 00:00:39.353695,8,0.5,0.1,0.0003,onecycle,1,True,0.0001,0.43478260869565216,0.43478260869565216,COMPLETE
14,0.425,2026-09-07 19:41:36.618671,2026-09-07 19:42:21.956931,0 days 00:00:45.338260,8,0.5,0.0,3e-05,onecycle,1,False,0.0001,0.7391304347826086,0.0,COMPLETE
